Longitude,Latitude,value
-112.1,-14.73333333,0
-109.7166667,-11.7,0
-116.2166667,1.45,0
-115.7666667,4.133333333,0
95.08333333,-45.01666667,1
95.08333333,-47.13333333,1
95.03333333,-47.98333333,1
94.83333333,-49.38333333,0
-89.75,-59.65,0
-130.1166667,-58,0
-159.9833333,-54.01666667,1
-63.06666667,-58.86666667,0
-136.9666667,-59.96666667,0
156.0666667,4.85,0
156.2333333,2.783333333,0
157,-2.233333333,0
161.3166667,-3.6,0
160.8,-1.75,0
159.0666667,-1.633333333,0
158.7,-0.016666667,0
160.4166667,-0.016666667,0
161,0,0
161.4333333,0,0
161.9833333,0,0
161,0.883333333,0
161.6,1.1,0
162.4,1.366666667,0
163.7,2.366666667,0
-47.48333333,28.35,0
-46.35,28.56666667,0
-43.21666667,29.81666667,1
-39.68333333,31.18333333,0
-37.85,31.65,1
-34.1,32.41666667,0
-34.06666667,32.45,0
-30.38333333,34.65,1
-29.98333333,34.61666667,0
-28.78333333,34.81666667,0
-28.36666667,34.8,1
-26.2,34.81666667,0
-24.31666667,35,0
-21.66666667,34.95,0
-17.36666667,34.96666667,0
-12.61666667,35.18333333,1
-51.58333333,16.71666667,1
-46.13333333,16.65,0
-42.95,15.53333333,0
-34.16666667,11,0
-44.96666667,5.983333333,0
-44.93333333,5.866666667,0
-44.76666667,5.666666667,0
-44.71666667,5.7,0
-44.73333333,5.7,0
-44.63333333,5.783333333,0
-44.58333333,5.833333333,0
-44.5,5.883333333,0
-44.46666667,5.966666667,0
-44.38333333,6.016666667,0
-44.3,6.5,0
-44.3,6.116666667,0
-44.21666667,6.216666667,0
-44.08333333,6.316666667,0
-44.08333333,6.216666667,0
-44.08333333,6.116666667,0
-44.08333333,6.033333333,0
-44.08333333,6,0
-44.05,5.716666667,0
-44.08333333,5.6,0
-44.08333333,5.566666667,0
-44.06666667,5.466666667,0
-44.06666667,5.383333333,0
-43.75,4.733333333,0
-43.65,4.716666667,0
-43.48333333,4.783333333,0
-43.45,4.766666667,0
-43.2,4.866666667,1
-43.13333333,4.9,0
-43.05,4.916666667,1
-42.91666667,4.95,0
-42.88333333,4.95,0
-42.78333333,5,0
-42.73333333,5.033333333,0
-43.33333333,4.8,0
-43.06666667,4.75,0
-43.05,4.75,0
-43.31666667,4.85,0
-43.15,4.7,0
-43.38333333,4.566666667,0
-43.7,4.366666667,0
-43.66666667,4.366666667,0
-43.48333333,4.35,0
-43.41666667,4.35,0
-43.43333333,4.333333333,0
-43.43333333,4.35,0
-43.48333333,4.333333333,0
-43.48333333,4.7,0
-43.3,4.766666667,0
-43.15,4.85,0
-43.03333333,4.883333333,0
-42.98333333,4.866666667,0
-42.73333333,5.15,0
72.78333333,-5.383333333,0
63.71666667,-5.566666667,0
59.25,-5.433333333,0
73.6,-35.78333333,0
78.43333333,-37.31666667,1
98.86666667,-32,1
65.96666667,-5.716666667,0
100.3333333,-32.1,1
113.9333333,-32.26666667,0
148.7,-14.5,0
