Longitude,Latitude,value
-10.08333333,-37.25,0
-6.716666667,-36.15,0
-4.75,-34.95,0
1,-34.06666667,0
2.833333333,-32.88333333,0
11.53333333,-30.46666667,0
29.18333333,-33.21666667,0
34.03333333,-30.3,0
37,-26.93333333,0
41.56666667,-10.35,0
65.2,2.983333333,0
67.71666667,-2.833333333,0
69.86666667,2.5,0
74.6,0.783333333,0
76.16666667,0.8,0
71,6.233333333,0
90.01666667,12.7,0
89.58333333,13.05,0
88.63333333,15.05,0
90.56666667,15.16666667,0
96.06666667,12.76666667,0
93.33333333,9.333333333,0
126.1833333,23.95,0
126.3333333,26.58333333,0
170.0166667,38.1,0
-157.2333333,21.46666667,0
-170.0666667,19.08333333,0
-175.2666667,13.86666667,0
-89.41666667,-3.116666667,0
-103.6333333,-1.65,0
-90.93333333,4.75,0
-75.03333333,11.91666667,1
-74.85,12.88333333,1
-71.66666667,15.61666667,1
-75.45,16.71666667,1
-75.95,15.06666667,1
-78.75,14.88333333,1
-76.95,10.03333333,1
-78.15,11.25,1
-79.81666667,13.16666667,1
-30,1.85,1
-25.43333333,1.783333333,1
-10.05,4.583333333,1
-7.716666667,3.7,1
-0.716666667,4.516666667,1
2.633333333,2.016666667,0
-8.216666667,-8.183333333,1
-10.6,-9.133333333,1
8.866666667,-21.88333333,0
11.2,-22.33333333,0
11.3,-25.48333333,0
-3.583333333,-37.53333333,0
7.616666667,-46.6,0
13.43333333,-50.71666667,0
71.88333333,-12.46666667,0
88.56666667,-9.033333333,0
90.01666667,-2.383333333,0
90.13333333,-2.283333333,0
89.95,-0.833333333,0
90,-0.466666667,0
90.16666667,1.466666667,0
90.51666667,5.85,0
102.45,-5.966666667,0
103.6666667,-12.88333333,0
119.45,-15.2,0
124.6833333,-10.41666667,0
124.5166667,-8.516666667,0
125.0166667,-8.45,0
124.1166667,-6.866666667,0
126.15,-0.95,0
119.95,4.416666667,0
123.6833333,26.1,0
126.35,26.83333333,0
137.9833333,33.46666667,0
-142.5666667,50.38333333,0
-15.56666667,-49.91666667,0
-13.21666667,-46.08333333,0
-20.85,-42.96666667,0
-47.55,-49.6,0
-49.03333333,-33.56666667,0
-45.46666667,-29.2,1
-40.58333333,-25.68333333,1
6.3,-21.43333333,0
13.15,-28.08333333,0
14.7,-31.06666667,0
36.01666667,-32.11666667,0
37.65,-31.53333333,0
43.93333333,-29.28333333,0
44.81666667,-29.91666667,0
45.78333333,-32.26666667,0
47.6,-32.65,0
54.1,-31.85,0
57.41666667,-31.08333333,0
58.68333333,-28.8,0
61.33333333,-29.08333333,0
69.48333333,-25.35,0
70.51666667,-24.28333333,0
69.68333333,-23.68333333,0
68.68333333,-21.68333333,0
68.46666667,-20.61666667,0
66.11666667,-16.35,0
64.73333333,-12.3,0
56.63333333,-13.15,0
57.71666667,-10.5,0
66.1,15.03333333,0
84.56666667,0.866666667,0
85.33333333,7.433333333,0
93.53333333,6.5,0
96.26666667,6.4,0
158.7666667,3.75,0
159.45,1.75,0
159.4,1.75,0
169,2.15,0
163.8,1.65,0
165.5833333,0.183333333,0
166.55,1.666666667,0
165.7333333,4.1,0
168.8333333,3.5,0
173.5,4.183333333,0
57.86666667,17.68333333,0
57.73333333,17.63333333,0
57.73333333,17.65,0
57.63333333,17.71666667,0
57.61666667,17.71666667,0
57.61666667,17.78333333,0
57.66666667,17.76666667,0
57.58333333,17.9,0
57.61666667,18.06666667,0
57.68333333,18.25,0
57.21666667,18.25,0
57.63333333,18.28333333,0
57.65,18.28333333,0
57.55,18.26666667,0
57.53333333,18.11666667,0
57.55,18.06666667,0
57.81666667,17.71666667,0
57.65,17.61666667,0
57.66666667,17.66666667,0
57.6,17.91666667,0
57.68333333,18.21666667,0
57.65,18.23333333,0
57.6,18.23333333,0
